[["40c"],0] NaN
[[16,4,4,3,2,1,1],0] 0
[[16,4,4,3,2],0] 0
[[16,4,4,2,2,1,1,1],0] 0
[[16,4,4,2,2,1],0] 0
[[16,4,4,1,1,1,1,1],0] 0
[[16,4,4,1,1,1],0] 0
[[16,4,4,1],0] 0
[[16,4,3,3,3,3],0] 0
[[16,4,3,3,3,2,1],0] 0
[[16,4,3,3,2,2,1,1],0] 0
[[16,4,3,3,2,2],0] 0
[[16,4,3,3,1,1,1,1],0] 0
[[16,4,3,3,1,1],0] 0
[[16,4,3,3],0] 0
[[16,4,3,2,2,2,1],0] 0
[[16,4,3,2,1,1,1,1,1],0] 0
[[16,4,3,2,1,1,1],0] 0
[[16,4,3,2,1],0] 0
[[16,4,2,2,2,2,2,2],0] 0
[[16,4,2,2,2,2,1,1],0] 0
[[16,4,2,2,2,2],0] 0
[[16,4,2,2,1,1,1,1,1,1],0] 0
[[16,4,2,2,1,1,1,1],0] 0
[[16,4,2,2,1,1],0] 0
[[16,4,2,2],0] 0
[[16,4,1,1,1,1,1,1,1,1],0] 0
[[16,4,1,1,1,1,1,1],0] 0
[[16,4,1,1,1,1],0] 0
[[16,4,1,1],0] 0
[[16,4],0] 0
[[16,3,3,3,3,3,2],0] 0
[[16,3,3,3,3,1,1,1],0] 0
[[16,3,3,3,3,1],0] 0
[[16,3,3,3,2,2,2],0] 0
[[16,3,3,3,2,1,1,1,1],0] 0
[[16,3,3,3,2,1,1],0] 0
[[16,3,3,3,2],0] 0
[[16,3,3,2,2,2,2,1],0] 0
[[16,3,3,2,2,1,1,1],0] 0
[[16,3,3,2,2,1],0] 0
[[16,3,3,1,1,1,1,1,1,1],0] 0
[[16,3,3,1,1,1,1,1],0] 0
[[16,3,3,1,1,1],0] 0
[[16,3,3,1],0] 0
[[16,3,2,2,2,2,2,1,1],0] 0
[[16,3,2,2,2,2,2],0] 0
[[16,3,2,2,2,1,1,1,1],0] 0
[[16,3,2,2,2,1,1],0] 0
[[16,3,2,2,2],0] 0
[[16,3,2,1,1,1,1,1,1,1,1],0] 0
[[16,3,2,1,1,1,1,1,1],0] 0
[[16,3,2,1,1,1,1],0] 0
[[16,3,2,1,1],0] 0
[[16,3,2],0] 0
[[16,2,2,2,2,2,2,1],0] 0
[[16,2,2,2,2,1,1,1,1,1],0] 0
[[16,2,2,2,2,1,1,1],0] 0
[[16,2,2,2,2,1],0] 0
[[16,2,2,1,1,1,1,1,1,1],0] 0
[[16,2,2,1,1,1,1,1],0] 0
[[16,2,2,1,1,1],0] 0
[[16,2,2,1],0] 0
[[16,1,1,1,1,1,1,1,1,1,1,1],0] 0
[[16,1,1,1,1,1,1,1,1,1],0] 0
[[16,1,1,1,1,1,1,1],0] 0
[[16,1,1,1,1,1],0] 0
[[16,1,1,1],0] 0
[[16,1],0] 0
[[15,15,4,1],0] 0
[[15,15,3,3],0] 1
[[15,15,2,2],0] 0
[[15,15,1,1,1,1],0] 1
